appointmentId,inspectionStartTime,year,month,engineTransmission_battery_value,engineTransmission_engineoilLevelDipstick_value,engineTransmission_engineOil,engineTransmission_engine_value,engineTransmission_coolant_value,engineTransmission_engineMounting_value,engineTransmission_engineSound_value,engineTransmission_exhaustSmoke_value,engineTransmission_engineBlowByBackCompression_value,engineTransmission_clutch_value,engineTransmission_gearShifting_value,fuel_type,odometer_reading,rating_engineTransmission
aj_16,2019-02-07 11:10:56,2016,4,1,1,0,1,1,1,0,1,1,1,1,Petrol,0.025916025916025917,4.0
aj_17,2019-02-17 14:38:43,2004,12,1,1,0,0,1,1,0,1,1,0,1,Petrol,0.12443212443212444,3.5
aj_18,2019-02-18 17:38:52,2012,10,1,1,0,0,0,1,1,1,1,1,1,Diesel,0.10041510041510042,4.5
aj_19,2019-03-24 15:59:27,2008,1,1,1,1,1,1,0,1,1,1,0,1,Petrol,0.044416044416044416,4.0
aj_20,2019-03-13 15:05:37,2018,8,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.009279009279009279,5.0
aj_21,2019-04-07 13:33:20,2010,2,1,1,0,0,0,0,0,1,0,0,0,Petrol,0.04711204711204711,3.5
aj_22,2019-03-10 14:03:09,2013,4,0,1,1,1,1,1,1,1,1,0,1,Petrol,0.0231990231990232,4.0
aj_23,2019-02-24 12:37:46,2017,11,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.014976014976014976,4.0
aj_24,2019-03-12 18:36:28,2011,11,1,1,1,1,0,1,1,1,1,1,1,Petrol,0.038875038875038875,4.0
aj_25,2019-02-28 13:35:21,2013,8,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.11639011639011639,3.0
aj_26,2019-03-10 12:07:42,2014,5,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.05119205119205119,5.0
aj_27,2019-03-08 10:38:26,2016,8,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.008532008532008532,5.0
aj_28,2019-01-14 12:44:28,2012,2,1,1,0,0,0,0,0,0,1,1,1,Diesel,0.08966908966908967,4.0
aj_29,2019-01-30 12:03:18,2013,7,1,1,0,0,1,1,0,1,1,1,1,Diesel,0.0388950388950389,4.0
aj_30,2019-01-16 12:17:16,2012,11,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.15205115205115205,4.0
aj_31,2019-01-28 11:25:25,2012,8,1,1,0,0,1,1,0,0,1,1,1,Diesel,0.06436006436006436,3.5
aj_32,2019-01-14 11:11:01,2016,2,1,1,0,0,1,1,1,1,1,1,1,Petrol,0.013153013153013152,4.0
aj_33,2019-01-13 11:32:32,2011,9,0,1,0,1,1,0,0,1,1,0,1,Petrol,0.039193039193039195,4.5
aj_34,2019-01-19 11:22:59,2012,8,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.10928410928410928,4.0
aj_35,2019-01-28 11:23:36,2011,2,1,1,0,1,1,1,0,1,1,1,1,Petrol,0.08841308841308841,3.0
aj_36,2019-01-16 17:32:40,2014,8,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.033765033765033765,4.0
aj_37,2019-01-20 14:25:03,2006,1,1,1,0,0,1,0,0,1,1,0,1,Petrol,0.045177045177045176,4.0
aj_38,2019-01-10 17:57:10,2013,1,1,1,0,1,1,0,0,1,1,1,1,Diesel,0.036205036205036206,4.0
aj_39,2019-04-03 16:39:30,2003,1,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.08324608324608325,1.0
aj_40,2019-04-14 12:36:45,2015,10,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.013566013566013566,4.5
aj_41,2019-04-09 14:10:20,2015,4,1,1,1,0,1,1,1,1,1,1,1,Petrol + CNG,0.033902033902033904,4.5
aj_42,2019-04-14 17:34:45,2005,4,1,1,0,1,0,1,0,1,1,1,1,Petrol,0.0654000654000654,3.5
aj_43,2019-04-09 14:30:42,2005,5,0,1,0,1,0,1,0,1,1,1,1,Petrol,0.10594310594310594,3.5
aj_44,2019-01-21 15:48:21,2015,4,1,1,0,1,0,1,0,1,1,0,1,Petrol,0.031346031346031346,3.0
aj_45,2019-01-02 12:26:13,2014,2,1,1,0,0,0,0,0,0,0,0,0,Petrol,0.02367802367802368,3.5
aj_46,2019-01-04 10:17:33,2011,4,0,1,0,0,0,0,0,0,1,0,1,Petrol + CNG,0.09117609117609117,4.0
aj_47,2019-01-31 12:29:26,2011,8,1,1,0,0,1,1,0,1,1,0,1,Petrol + CNG,0.06663106663106663,3.5
aj_48,2019-02-24 16:42:25,2003,10,1,0,0,1,0,1,0,1,1,1,1,Petrol,0.08872108872108872,1.0
aj_49,2019-02-17 16:50:26,2012,9,1,1,0,0,1,0,0,1,1,0,1,Diesel,0.10016610016610017,3.0
aj_50,2019-02-09 12:53:57,2003,1,1,1,1,1,1,1,1,1,1,1,1,Petrol + CNG,0.10174510174510175,1.0
aj_51,2019-03-27 16:00:11,2005,7,1,1,0,0,0,1,0,0,0,0,1,Petrol + CNG,0.08331208331208331,3.0
aj_52,2019-03-15 14:55:52,2012,1,1,1,0,0,1,0,0,1,1,0,1,Petrol,0.055238055238055236,4.0
aj_53,2019-03-30 15:12:47,2007,1,1,1,0,0,0,1,1,1,1,0,1,Petrol + CNG,0.07089407089407089,3.5
aj_54,2019-03-17 11:55:29,2012,9,1,1,1,1,1,0,0,1,1,1,1,Diesel,0.0307970307970308,5.0
aj_55,2019-03-24 17:11:46,2010,12,1,1,0,1,0,1,0,1,1,0,0,Petrol + CNG,0.09396509396509396,4.0
aj_56,2019-03-19 13:05:08,2011,10,1,1,0,1,1,0,0,1,1,0,1,Diesel,0.073002073002073,4.0
aj_57,2019-03-24 10:50:28,2014,3,1,1,1,0,1,1,0,1,1,1,1,Petrol + CNG,0.043557043557043554,4.0
aj_58,2019-01-17 13:21:07,2007,12,1,1,0,0,0,0,0,0,0,0,1,Diesel,0.18885518885518884,1.0
aj_59,2019-02-03 11:24:24,2006,4,1,1,0,1,1,1,0,1,1,1,1,Petrol,0.1493871493871494,4.0
aj_60,2019-01-31 12:42:43,2012,9,1,1,0,1,0,1,0,1,0,1,1,Petrol + CNG,0.03891003891003891,3.5
aj_61,2019-04-10 17:58:43,2014,6,1,1,0,0,1,0,0,1,1,0,1,Petrol,0.13247313247313247,3.0
aj_62,2019-04-06 16:19:06,2015,11,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.030207030207030208,5.0
aj_63,2019-04-13 18:13:22,2006,6,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.09149209149209149,3.5
aj_64,2019-04-03 13:37:20,2009,6,1,1,0,0,0,1,0,1,1,1,1,Petrol + CNG,0.06015106015106015,3.5
aj_65,2019-04-14 10:14:42,2017,4,1,1,1,1,1,1,1,1,1,0,0,Petrol,0.029904029904029905,4.0
aj_66,2019-04-13 10:42:27,2008,8,1,1,0,1,0,1,0,1,1,0,1,Petrol,0.07456407456407456,4.0
aj_67,2019-01-04 13:57:00,2012,10,1,1,0,0,1,0,0,0,1,0,1,Diesel,0.098003098003098,3.5
aj_68,2019-02-05 14:07:49,2011,5,1,1,0,0,1,1,0,1,1,1,1,Petrol + CNG,0.0922060922060922,4.0
aj_69,2019-02-15 12:54:10,2012,10,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.09004109004109004,4.0
aj_70,2019-02-26 15:04:10,2014,1,1,1,0,0,1,1,0,1,1,1,1,Petrol,0.04652604652604653,4.0
aj_71,2019-02-20 15:10:55,2015,10,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.017817017817017815,3.5
aj_72,2019-04-02 18:10:35,2012,2,1,1,1,1,0,1,0,1,1,0,1,Petrol,0.0355980355980356,3.5
aj_73,2019-03-24 12:07:40,2012,8,0,1,0,0,0,1,0,0,0,0,1,Petrol + CNG,0.12843312843312843,3.0
aj_74,2019-03-26 12:55:28,2010,12,1,1,1,0,1,1,0,1,1,0,1,Petrol,0.060541060541060544,3.5
aj_75,2019-03-16 16:49:57,2011,1,1,1,0,0,1,1,0,0,1,1,1,Petrol,0.04413804413804414,3.5
aj_76,2019-03-05 14:25:20,2010,6,1,1,0,1,0,0,0,1,1,0,0,Diesel,0.018407018407018406,3.5
aj_77,2019-03-10 11:52:09,2015,12,1,1,1,1,1,1,0,1,1,0,1,Petrol,0.02793002793002793,3.0
aj_78,2019-03-02 15:00:19,2013,12,1,1,1,1,1,0,1,1,1,1,1,Petrol,0.00864000864000864,4.5
aj_79,2019-03-17 16:10:28,2004,1,1,1,0,0,0,0,0,1,1,0,1,Petrol,0.05656405656405657,2.0
aj_80,2019-01-08 13:34:53,2004,1,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.07798207798207799,1.0
aj_81,2019-01-29 17:43:44,2010,7,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.06720106720106721,3.5
aj_82,2019-01-08 13:52:55,2010,1,0,1,0,0,0,1,1,0,1,0,1,Petrol + CNG,0.048662048662048665,4.0
aj_83,2019-01-19 11:15:02,2006,11,1,1,0,0,0,0,0,1,1,0,0,Petrol,0.13516413516413517,3.5
aj_84,2019-02-11 10:15:23,2004,10,1,1,0,1,1,1,1,1,0,1,1,Petrol,0.06812206812206813,3.5
aj_85,2019-01-15 16:32:01,2004,1,1,1,0,0,0,1,1,1,1,1,1,Petrol,0.13948213948213947,1.0
aj_86,2019-04-09 11:32:51,2013,1,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.03742903742903743,4.0
aj_87,2019-04-10 16:11:54,2013,7,1,1,0,1,1,1,0,0,1,1,1,Diesel,0.06425406425406426,3.5
aj_88,2019-04-08 12:37:32,2015,10,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.027518027518027517,4.5
aj_89,2019-04-04 15:27:52,2005,3,0,1,0,0,0,1,0,0,1,0,0,Petrol + CNG,0.08822808822808823,3.5
aj_90,2019-04-06 13:28:44,2011,1,1,1,0,0,0,0,0,1,1,0,1,Diesel,0.0791940791940792,3.0
aj_91,2019-01-04 12:50:07,2014,5,1,1,0,0,1,1,0,1,1,0,1,Petrol + CNG,0.08546308546308547,4.0
aj_92,2019-01-07 16:01:25,2014,10,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.014652014652014652,3.0
aj_93,2019-02-24 17:21:48,2004,11,1,1,0,0,0,0,0,0,1,0,0,Petrol,0.08886608886608886,3.0
aj_94,2019-02-17 15:09:44,2008,3,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.11283211283211284,1.0
aj_95,2019-02-03 11:24:05,2009,6,0,1,0,0,1,1,0,0,1,1,1,Petrol + CNG,0.08796608796608797,3.5
aj_96,2019-03-25 18:08:09,2014,11,1,1,0,1,0,1,0,1,1,0,1,Diesel,0.08841908841908842,3.0
aj_97,2019-04-06 13:25:14,2005,7,1,1,0,0,0,1,0,0,1,1,0,Petrol,0.14576714576714578,2.5
aj_98,2019-03-30 11:10:17,2013,11,0,1,0,1,1,0,0,1,1,1,1,Diesel,0.0883960883960884,3.5
aj_99,2019-03-24 12:40:32,2016,5,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.025836025836025837,5.0
aj_100,2019-03-13 15:30:47,2007,8,1,1,0,0,1,0,0,1,1,1,1,Petrol + CNG,0.1208921208921209,4.0
aj_101,2019-03-23 13:16:38,2011,1,1,1,0,0,1,0,0,1,1,0,0,Diesel,0.09343309343309343,3.5
aj_102,2019-03-11 17:32:12,2009,9,1,1,0,1,0,1,0,1,1,0,1,Diesel,0.06395006395006395,3.5
aj_103,2019-02-24 13:29:15,2007,11,1,1,0,0,1,1,0,1,1,0,1,Petrol,0.13521413521413522,4.0
aj_104,2019-02-22 11:16:21,2010,8,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.10449110449110449,4.0
aj_105,2019-03-23 12:41:40,2014,5,1,1,0,1,0,1,0,1,1,0,1,Diesel,0.05582205582205582,4.0
aj_106,2019-03-02 11:58:26,2004,1,1,1,0,0,1,0,0,0,1,1,1,Petrol + CNG,0.11228411228411228,1.0
aj_107,2019-01-20 12:51:21,2004,1,1,1,0,0,1,0,0,1,1,0,1,Petrol,0.029463029463029464,1.0
aj_108,2019-01-10 17:17:55,2013,11,1,1,0,1,1,0,1,1,1,0,1,Petrol + CNG,0.055475055475055476,3.5
aj_109,2019-01-15 12:09:01,2007,5,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.14942814942814941,1.0
aj_110,2019-04-15 11:56:46,2004,6,1,1,0,0,1,0,0,0,1,1,1,Petrol,0.09137109137109137,4.0
aj_111,2019-04-07 15:02:53,2005,3,1,1,0,1,0,0,0,1,1,0,0,Petrol,0.045756045756045756,3.5
aj_112,2019-04-12 12:03:24,2010,8,0,1,0,1,1,1,0,1,1,1,1,Diesel,0.1739131739131739,4.0
aj_113,2019-01-07 16:44:35,2017,2,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.00397000397000397,4.0
aj_114,2019-01-10 12:33:56,2015,1,1,1,1,1,1,1,1,1,1,1,1,Petrol + CNG,0.04853504853504854,5.0
aj_115,2019-02-17 15:17:27,2005,10,1,1,0,0,0,0,0,1,1,0,1,Petrol + CNG,0.09147409147409147,3.0
aj_116,2019-02-17 16:27:13,2014,4,0,1,0,1,1,1,1,1,1,0,1,Diesel,0.049209049209049206,4.0
aj_117,2019-02-26 12:41:22,2013,1,1,1,0,0,1,1,0,1,1,1,1,Petrol,0.025606025606025606,4.0
aj_118,2019-02-02 16:08:21,2012,1,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.03421603421603422,4.0
aj_119,2019-02-15 12:49:52,2006,11,0,1,0,0,0,0,0,0,0,0,0,Petrol,0.1528961528961529,2.5
aj_120,2019-02-18 13:05:18,2017,12,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.004837004837004837,5.0
aj_121,2019-02-03 12:15:18,2008,10,1,1,1,1,1,1,0,0,1,0,1,Petrol,0.04755604755604756,3.5
aj_122,2019-03-01 14:25:08,2004,1,1,1,0,0,0,0,0,1,1,0,1,Petrol,0.07445907445907446,3.5
aj_123,2019-02-13 13:44:51,2017,10,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.007786007786007786,4.5
aj_124,2019-03-17 18:45:28,2012,1,1,1,0,1,1,0,0,1,1,0,1,Diesel,0.13831813831813833,4.0
aj_125,2019-03-24 17:34:24,2011,2,1,1,0,1,1,1,0,0,1,1,1,Petrol,0.06475606475606475,3.5
aj_126,2019-03-29 15:51:48,2017,11,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.002253002253002253,4.5
aj_127,2019-02-27 14:40:58,2013,11,1,1,0,0,0,0,0,1,1,0,0,Petrol,0.04026904026904027,4.0
aj_128,2019-03-17 14:25:18,2015,1,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.05105105105105105,4.0
aj_129,2019-04-04 13:09:21,2005,12,0,1,0,0,1,0,0,0,1,0,0,Petrol,0.006773006773006773,2.5
aj_130,2019-02-10 16:07:11,2014,1,1,1,0,1,0,1,0,1,1,0,1,Petrol,0.041826041826041827,3.5
aj_131,2019-01-23 15:19:33,2006,3,1,1,0,0,0,0,0,1,1,0,0,Petrol + CNG,0.1601101601101601,3.0
aj_132,2019-01-17 14:18:10,2015,5,1,1,0,0,0,0,0,1,1,0,1,Petrol,0.07361407361407361,3.5
aj_133,2019-01-17 12:49:23,2014,8,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.03294003294003294,4.5
aj_134,2019-01-23 14:45:04,2009,10,0,1,0,0,1,0,0,0,1,0,0,Petrol,0.04982004982004982,3.0
aj_135,2019-01-12 13:04:58,2015,1,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.06456806456806456,4.5
aj_136,2019-04-10 11:04:21,2018,12,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.001787001787001787,5.0
aj_137,2019-04-02 18:03:44,2013,3,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.07310507310507311,4.5
aj_138,2019-04-14 13:58:47,2008,7,0,1,0,1,1,1,0,0,1,0,1,Petrol,0.04821504821504821,4.0
aj_139,2019-04-10 16:39:28,2012,1,0,1,0,0,0,0,0,0,0,0,1,Diesel,0.0703000703000703,3.0
aj_140,2019-01-17 10:18:53,2010,1,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.05464605464605465,3.0
aj_141,2019-01-05 17:06:44,2007,1,1,1,0,1,1,1,0,0,1,1,1,Petrol,0.053309053309053306,4.0
aj_142,2019-01-02 16:36:59,2010,2,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.08608108608108608,3.0
aj_143,2019-01-15 19:08:08,2011,3,1,0,0,0,0,1,0,1,1,0,1,Petrol,0.07522107522107523,3.0
aj_144,2019-02-15 15:55:47,2013,6,0,1,1,1,1,0,0,0,1,1,1,Petrol,0.032756032756032755,3.5
aj_145,2019-02-10 10:25:20,2007,12,1,1,1,1,1,1,0,1,1,0,1,Petrol,0.039297039297039295,4.0
aj_146,2019-02-10 13:00:13,2011,1,1,1,0,1,1,1,1,1,1,0,1,Petrol,0.0602990602990603,4.0
aj_147,2019-02-08 14:33:03,2016,3,1,1,0,0,1,0,0,1,1,1,1,Petrol + CNG,0.04161504161504161,3.5
aj_148,2019-02-15 14:07:23,2016,1,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.033434033434033436,4.0
aj_149,2019-03-01 12:55:24,2009,10,1,1,0,1,0,1,0,1,1,1,1,Diesel,0.16792916792916793,4.0
aj_150,2019-02-02 12:52:55,2010,3,1,1,0,1,0,0,0,1,1,0,1,Diesel,0.056023056023056024,3.5
aj_151,2019-02-08 11:17:22,2011,3,1,1,0,1,1,1,0,1,1,0,1,Diesel,0.06961306961306961,3.0
aj_152,2019-03-27 11:06:22,2004,10,1,1,0,0,0,1,0,0,1,1,1,Petrol,0.10203910203910203,3.5
aj_153,2019-03-24 16:55:39,2010,10,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.11781011781011781,4.0
aj_154,2019-03-10 10:53:13,2009,10,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.08803908803908804,4.0
aj_155,2019-03-09 15:12:51,2013,3,1,1,0,1,1,1,0,0,1,1,1,Diesel,0.08667208667208667,4.0
aj_156,2019-03-29 17:33:10,2010,5,0,0,0,0,1,0,0,1,1,1,1,Diesel,0.11771811771811772,4.0
aj_157,2019-03-14 12:37:19,2012,2,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.02274002274002274,4.0
aj_158,2019-04-03 15:26:50,2013,12,1,1,1,0,1,0,0,1,1,0,1,Petrol + CNG,0.04374004374004374,4.0
aj_159,2019-01-19 13:08:10,2010,11,1,1,0,0,0,1,0,1,1,1,1,Petrol + CNG,0.044392044392044396,3.5
aj_160,2019-01-30 14:06:17,2014,9,1,1,0,1,1,1,1,1,1,1,1,Diesel,0.07736307736307736,4.0
aj_161,2019-01-27 16:25:11,2011,1,1,1,0,0,0,1,0,1,1,0,1,Petrol,0.13540613540613541,4.0
aj_162,2019-01-28 16:54:29,2016,12,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.027094027094027095,4.0
aj_163,2019-01-20 16:32:14,2010,12,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.03227603227603228,4.5
aj_164,2019-01-21 15:31:41,2009,3,1,1,0,0,0,1,0,1,1,1,1,Petrol,0.14877414877414877,3.5
aj_165,2019-01-02 11:00:17,2015,11,1,1,0,1,0,1,1,1,1,1,1,Petrol,0.05431805431805432,4.0
aj_166,2019-01-07 15:17:51,2007,5,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.12654312654312655,1.0
aj_167,2019-01-09 11:20:37,2013,3,1,1,0,1,0,0,0,0,1,0,0,Diesel,0.11713511713511714,3.5
aj_168,2019-01-07 12:33:35,2009,1,0,1,0,0,0,0,0,0,1,0,1,Petrol,0.09555309555309556,3.0
aj_169,2019-03-24 15:40:24,2008,12,1,1,1,1,0,1,0,0,1,1,1,Petrol,0.007988007988007988,3.0
aj_170,2019-02-10 13:16:53,2010,1,1,1,0,1,0,1,1,1,1,1,1,Diesel,0.06213906213906214,3.0
aj_171,2019-02-02 11:19:06,2011,8,0,1,0,0,0,0,0,1,1,0,1,Diesel,0.15473015473015472,3.5
aj_172,2019-03-03 16:18:00,2010,3,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.07343907343907344,4.0
aj_173,2019-02-20 12:33:52,2017,5,1,1,0,1,1,1,1,1,1,1,1,Petrol,0.013306013306013305,4.5
aj_174,2019-02-03 14:38:50,2008,2,1,1,0,1,0,1,1,1,1,0,1,Petrol,0.03595903595903596,3.5
aj_175,2019-02-17 16:56:02,2009,3,1,1,0,1,0,1,0,1,1,1,1,Diesel,0.04719404719404719,3.5
aj_176,2019-02-10 13:41:36,2016,7,1,1,0,0,1,0,0,1,1,0,1,Petrol,0.030055030055030053,3.5
aj_177,2019-03-23 15:30:50,2012,3,1,1,0,0,1,1,0,0,1,0,1,Diesel,0.12915312915312915,3.0
aj_178,2019-03-08 15:52:50,2004,1,0,1,0,1,1,0,0,0,1,0,1,Petrol + CNG,0.048767048767048765,4.0
aj_179,2019-03-10 11:27:47,2009,12,1,1,0,1,1,1,0,1,1,1,0,Petrol + CNG,0.10208010208010208,4.0
aj_180,2019-03-12 17:49:17,2011,1,1,1,0,1,1,1,0,1,1,0,0,Petrol,0.09987809987809988,3.5
aj_181,2019-03-10 14:18:43,2016,1,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.047315047315047314,4.0
aj_182,2019-03-10 10:41:01,2006,9,1,1,0,0,0,0,0,0,1,0,1,Petrol + CNG,0.14732514732514732,3.0
aj_183,2019-03-01 11:17:30,2016,5,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.04102004102004102,4.5
aj_184,2019-03-10 15:52:13,2008,3,1,1,1,1,0,1,0,1,1,1,1,Petrol,0.03026103026103026,3.0
aj_185,2019-03-07 16:51:01,2017,11,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.01249101249101249,4.0
aj_186,2019-03-19 12:59:32,2016,5,1,1,0,1,1,1,1,0,1,1,1,Diesel,0.046584046584046586,4.0
aj_187,2019-02-17 12:40:52,2011,2,1,1,0,0,1,0,0,1,1,1,1,Petrol + CNG,0.09602909602909603,3.5
aj_188,2019-01-08 15:40:08,2013,1,1,1,0,1,1,0,0,1,1,0,1,Diesel,0.06076306076306076,4.0
aj_189,2019-04-06 14:08:05,2010,8,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.0774940774940775,4.0
aj_190,2019-04-01 14:29:22,2018,1,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.016973016973016973,5.0
aj_191,2019-04-12 17:10:16,2009,6,1,1,0,0,0,0,0,1,0,0,1,Petrol,0.057963057963057965,4.0
aj_192,2019-03-22 16:18:00,2012,9,1,1,1,1,1,1,0,1,1,1,1,Diesel,0.022027022027022027,4.0
aj_193,2019-01-06 15:03:35,2006,3,1,0,0,0,0,0,0,0,1,0,0,Petrol + CNG,0.09379709379709379,3.0
aj_194,2019-01-08 13:15:04,2011,6,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.05966305966305966,5.0
aj_195,2019-02-05 12:58:32,2015,3,1,1,0,1,1,0,0,1,1,1,1,Diesel,0.06560706560706561,4.0
aj_196,2019-02-19 16:50:50,1998,1,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.001809001809001809,1.0
aj_197,2019-02-11 13:49:22,2010,11,1,1,0,0,1,0,0,1,1,0,0,Diesel,0.14936714936714937,3.5
aj_198,2019-02-11 15:55:54,2014,6,1,1,0,1,1,1,0,0,1,1,1,Diesel,0.08188308188308188,4.5
aj_199,2019-02-18 14:48:18,2010,2,0,1,0,0,0,0,0,1,1,0,0,Petrol,0.053388053388053386,4.0
aj_200,2019-02-15 14:00:28,2010,4,1,1,0,1,1,1,0,1,1,1,1,Diesel,0.11957811957811958,4.0
aj_201,2019-02-14 10:11:00,2012,5,1,1,0,1,0,1,0,0,0,0,0,Diesel,0.10850910850910851,3.0
aj_202,2019-02-18 15:57:33,2016,11,1,1,0,1,1,1,1,1,1,1,1,Petrol + CNG,0.023825023825023824,4.0
aj_203,2019-02-05 10:43:55,2012,5,1,1,0,1,1,1,1,0,1,1,1,Diesel,0.05700505700505701,3.0
aj_204,2019-02-17 15:58:22,2006,3,1,1,0,0,1,0,0,0,1,0,0,Petrol,0.19782319782319782,3.0
aj_205,2019-03-13 12:36:37,2008,1,0,1,0,1,1,1,0,0,1,1,1,Petrol,0.058704058704058704,3.5
aj_206,2019-03-07 13:05:22,2009,10,1,1,0,0,0,0,0,0,1,0,1,Petrol + CNG,0.10351110351110351,3.0
aj_207,2019-03-12 11:09:38,2017,6,1,1,1,1,1,1,1,1,1,1,1,Petrol + CNG,0.03751103751103751,5.0
aj_208,2019-03-17 15:35:15,2013,10,1,1,0,1,1,1,0,1,1,1,1,Petrol,0.02781002781002781,4.0
aj_209,2019-03-08 13:45:33,2017,4,1,1,1,1,1,1,1,1,1,1,1,Petrol,0.013421013421013421,5.0
aj_210,2019-03-14 12:38:55,2005,8,1,1,0,0,0,1,0,1,1,0,1,Petrol + CNG,0.16606116606116605,4.0
aj_211,2019-01-21 16:53:57,2017,7,1,1,0,1,1,1,1,1,1,1,1,Diesel,0.011107011107011107,4.5
aj_212,2019-01-19 13:00:48,2018,10,1,1,1,1,1,1,1,1,1,1,1,Diesel,0.00223000223000223,5.0
aj_213,2019-04-06 15:23:57,2011,5,1,1,1,1,1,1,0,1,1,1,1,Petrol,0.053899053899053896,4.5
